Business Name,Industry,City,Website,Owner/Contact,Email,Phone,Google Rating,Website Quality (1-10),Priority,Pain Points,Personalized Opening,Contacted,Follow-up Date,Notes
Chen Dental,Dentists,Sebring,chendental.com,,info@chendental.com,(863) 657-0391,,7,Medium,"Duplicate desktop/mobile navigation blocks, dated template structure","Chen Dental's site leads well with a phone-first CTA, but the navigation repeats itself across desktop and mobile versions, which slows visitors down.",,,Verified live Aug 2026
"Albert Ruiz, DDS",Dentists,Sebring,dralbertruiz.com,,,(863) 385-6200,,6,Medium,"No online appointment request option, basic template","Dr. Ruiz's practice has a solid local reputation, but the site doesn't offer online appointment requests, which is table stakes for new patients now.",,,Verified live via curl (mobile viewport confirmed); WebFetch review blocked twice
Dental Care of Mid Florida,Dentists,Sebring,dentalcareofmidfl.com,"Dr. Ernesto Llerena, DMD",,(863) 382-9090,,8,Low,None identified — site already modern with booking CTA,Dental Care of Mid Florida already has a strong online booking flow — curious whether local search rankings are keeping pace with it.,,,"Doctors listed: Dr. Ernesto Llerena, Dr. Iznaga Pardo, Dr. Mina Abdelmalek"
Lakeside Dental Arts,Dentists,Sebring,lakesidedentalarts.com,"David E. Willey, D.M.D.",,(863) 658-4272,,8,Low,None identified — site already modern,Lakeside Dental Arts' site leads well with patient testimonials — wanted to see how it's performing for local search traffic.,,,"Also lists Dr. George Mousa, Dr. Dalton Helvey, Dr. David Campano"
Circle City Dentists of Sebring,Dentists,Sebring,circlecitydentistsofsebring.com,Dr. Asharie Campbell,,(863) 382-2816,,4,High,"Keyword-stuffed page title, spammy on-page SEO, weak branding",Circle City Dentists' page title repeats a dozen keywords back to back — that kind of over-optimization can actually hurt Google rankings and looks unprofessional to new patients.,,,Verified live via curl
First Sebring Church,Churches,Sebring,firstsebring.org,,office@firstsebring.org,(863) 385-5184,,7,Medium,"Map embed fails to load, limited event calendar depth","First Sebring's site communicates service times clearly, but the map embed doesn't load, which is often a first impression for newcomers.",,,
Sebring Neighborhood Church,Churches,Sebring,sebringneighborhood.church,,sebring@weareneighborhood.church,(863) 835-0869,,8,Low,None identified — site already modern with clear CTAs,Sebring Neighborhood Church's site does a great job with the 'Plan a Visit' flow — always good to compare notes on what's converting.,,,
First Baptist Church Sebring,Churches,Sebring,fbsebring.com,,office@fbsebring.com,(863) 385-5154,,8,Low,None identified — site already modern,First Baptist Sebring's site covers a lot of ministries clearly — wanted to check whether the site's performance and SEO are where you'd like them to be.,,,
First Christian Church of Sebring,Churches,Sebring,fccsebring.com,,fccdoc@outlook.com,(863) 385-0352,,6,High,"Dated layout, calendar showing incorrect info, thin/placeholder blog content",First Christian Church's calendar and blog sections haven't been updated in a while — a refresh would make it easier for newcomers to find current service info.,,,
Living Waters Church of God,Churches,Sebring,livingwaterschurchofgodsebring.com,Pastor Brandon Roberts,,(863) 385-8772,,5,High,"Dated layout, 'check back soon' placeholder content, no mobile-optimization signals found","Living Waters' site still has a 'check back soon' placeholder where announcements should be — an easy, high-impact fix.",,,
